date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
1993-05-01;202.12;15.14;176.43;69.07;9.92;55.69;33.62;39.03;16.61
1993-06-01;127.8;14.18;102.09;61.28;17.7;74.26;10.6;11.32;24.16
1993-07-01;135.47;1.27;172.27;19.88;1.86;13.93;0.0;8.32;2.22
1993-08-01;20.46;18.61;29.46;46.29;16.74;25.1;34.21;16.5;12.0
1993-09-01;102.3;37.49;175.54;163.27;39.3;149.13;60.02;47.92;57.53
1993-10-01;165.54;49.91;151.42;96.61;52.08;96.05;80.16;159.69;71.2
1993-11-01;201.9;126.63;129.72;94.76;123.3;90.45;153.53;215.59;109.9
1993-12-01;198.09;294.17;211.76;205.58;283.34;197.22;287.11;263.19;258.74
1994-01-01;79.67;242.46;98.21;251.23;247.38;191.5;272.52;341.47;243.05
1994-02-01;309.12;94.6;279.31;162.69;106.96;130.01;143.86;321.5;89.98
1994-03-01;91.45;318.41;102.42;176.86;298.53;236.54;323.66;370.12;293.48
1994-04-01;199.5;46.94;191.14;104.19;29.7;112.9;103.88;154.47;53.06
1994-05-01;230.02;36.77;229.37;52.1;48.98;78.0;21.09;51.07;65.64
1994-06-01;168.9;9.94;145.84;41.55;10.8;62.59;24.38;37.07;14.1
1994-07-01;190.03;1.58;121.44;32.73;2.17;33.21;8.45;20.79;5.26
1994-08-01;104.16;0.0;52.69;5.3;0.0;18.1;0.0;5.44;0.97
1994-09-01;141.0;0.82;89.41;19.65;1.2;34.82;3.36;67.32;1.49
1994-10-01;292.95;100.11;230.81;133.55;122.45;91.42;86.17;225.6;99.35
1994-11-01;153.0;211.66;123.13;147.43;194.7;140.86;248.36;253.07;170.74
1994-12-01;149.11;201.85;160.52;224.99;215.14;215.37;271.92;300.74;221.42
1995-01-01;168.33;146.42;235.41;288.47;146.32;249.33;191.19;307.77;146.76
1995-02-01;132.72;204.18;170.85;364.31;233.52;303.79;226.73;445.51;233.43
1995-03-01;159.96;183.88;91.4;190.2;195.3;196.98;247.65;286.1;187.77
1995-04-01;69.0;39.43;85.98;72.28;38.1;61.58;147.47;296.33;50.69
1995-05-01;61.07;41.33;35.11;71.34;47.43;91.7;51.15;146.62;45.73
1995-06-01;106.5;2.46;123.4;36.98;3.6;51.78;1.44;3.99;5.78
1995-07-01;146.32;0.0;154.34;28.25;0.0;31.52;0.0;1.43;3.12
1995-08-01;99.82;0.21;82.54;24.01;0.31;53.31;0.0;5.39;1.78
1995-09-01;174.0;22.78;192.99;66.29;32.4;90.89;17.48;47.25;36.71
1995-10-01;125.55;97.36;155.63;160.73;99.82;196.72;99.4;186.71;114.97
1995-11-01;20.1;179.85;47.57;104.4;168.9;137.17;189.59;244.85;161.36
1995-12-01;70.37;274.13;109.25;259.12;309.07;230.01;270.4;333.95;348.46
1996-01-01;321.78;137.3;306.82;241.26;163.68;225.9;163.03;276.81;159.13
1996-02-01;246.5;120.12;188.09;180.4;140.65;262.28;139.51;193.64;151.94
1996-03-01;117.18;122.75;219.74;269.56;118.42;328.02;204.57;214.25;128.69
1996-04-01;125.1;74.63;73.22;67.86;73.2;86.2;135.42;299.62;71.04
1996-05-01;44.64;22.37;37.23;56.43;25.42;54.09;20.95;85.39;29.92
1996-06-01;120.0;2.48;149.25;35.77;2.1;48.78;1.42;3.16;4.65
1996-07-01;79.67;1.55;124.07;15.97;1.55;17.58;0.0;1.66;1.92
1996-08-01;190.65;11.08;203.68;33.1;13.64;32.5;21.58;27.05;15.19
